CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 31.10.2022

<Transmited Data>
<NEW BUTTON 14:19:01>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCAN E[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:29:32>
[^C][CR]
[^C][CR]
DRON[CR]
SCAN E[CR]
[^G][^G][^G][^G]
<PAUSE BUTTON 14:47:59>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:54:49>
[^C][CR]
SCAN E[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 14:19:01>

>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110
>
Reset interface. Wait time for interface: 109CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 110DOFF
OK
>
Command: DOFF Wait time for interface: 109

>
Reset interface. Wait time for interface: 16SCAN E
Z,0,0,0,0,0,2750
C,21338,1060,0,0,564,3554[CR],2189985640
F,14673,15623,0,0,564,3555[CR],2189985968
C,21334,1056,0,0,564,3555[CR],2189986406
F,14674,15624,0,0,563,3553[CR],2189986843
A,35460,14670,0,0,564,3553[CR],2189987171
C,21330,1048,0,0,564,3553[CR],2189987609
F,14674,15623,0,0,564,3553[CR],2189987937
C,21328,1056,0,0,564,3553[CR],2189988375
F,14672,15622,0,0,563,3552[CR],2189988812
A,35424,14674,0,0,564,3552[CR],2189989140
C,21320,1066,0,0,564,3552[CR],2189989578
F,14680,15627,0,0,564,3551[CR],2189989906
C,21314,1056,0,0,564,3552[CR],2189990343
F,14672,15630,0,0,564,3551[CR],2189990671
C,21312,1060,0,0,563,3550[CR],2189991109
A,35436,14675,0,0,565,3550[CR],2189991546
C,21306,1026,0,0,565,3550[CR],2189991875
F,14676,15619,0,0,565,3550[CR],2189992312
C,21304,1042,0,0,564,3549[CR],2189992640
F,14667,15618,0,0,563,3549[CR],2189993078
A,35440,14672,0,0,564,3549[CR],2189993406
C,21298,1052,0,0,564,3548[CR],2189993843
F,14667,15615,0,0,565,3549[CR],2189994281
C,21294,1066,0,0,564,3548[CR],2189994609
F,14669,15621,0,0,563,3548[CR],2189995046
A,35416,14666,0,0,565,3548[CR],2189995375
C,21290,1056,0,0,565,3548[CR],2189995812
F,14672,15620,0,0,564,3547[CR],2189996140
C,21286,1066,0,0,564,3548[CR],2189996578
F,14670,15623,0,0,563,3547[CR],2189997015
C,21282,1052,0,0,563,3547[CR],2189997343
A,35428,14663,0,0,564,3547[CR],2189997781
C,21276,1056,0,0,564,3546[CR],2189998109
F,14661,15620,0,0,564,3545[CR],2189998546
C,21274,1060,0,0,564,3546[CR],2189998875
F,14663,15622,0,0,563,3546[CR],2189999312
A,35388,14661,0,0,564,3546[CR],2189999750
C,21266,1052,0,0,564,3545[CR],2190000078
F,14661,15625,0,0,564,3545[CR],2190000515
C,21262,1056,0,0,564,3544[CR],2190000843
F,14667,15628,0,0,563,3544[CR],2190001281
A,35400,14668,0,0,564,3544[CR],2190001609
C,21258,1048,0,0,565,3544[CR],2190002046
F,14662,15625,0,0,564,3544[CR],2190002375
C,21254,1066,0,0,565,3544[CR],2190002812
F,14659,15625,0,0,565,3543[CR],2190003250
C,21248,1052,0,0,564,3542[CR],2190003578
A,35392,14663,0,0,565,3542[CR],2190004015
C,21244,1052,0,0,564,3541[CR],2190004343
F,14666,15624,0,0,564,3542[CR],2190004781
C,21238,1052,0,0,564,3541[CR],2190005109
F,14663,15627,0,0,564,3542[CR],2190005546
A,35380,14666,0,0,565,3541[CR],2190005984
C,21236,1056,0,0,564,3542[CR],2190006312
F,14668,15630,0,0,565,3541[CR],2190006750
C,21230,1042,0,0,564,3540[CR],2190007078
F,14667,15631,0,0,564,3540[CR],2190007515
A,35372,14669,0,0,565,3540[CR],2190007843
C,21222,1052,0,0,565,3539[CR],2190008281
F,14670,15630,0,0,565,3538[CR],2190008718
C,21220,1056,0,0,564,3539[CR],2190009046
F,14671,15630,0,0,565,3539[CR],2190009484
C,21214,1042,0,0,563,3538[CR],2190009812
A,35380,14672,0,0,565,3538[CR],2190010250
C,21210,1052,0,0,563,3537[CR],2190010578
