unit,site,position,d_avg,sigma_v0,u0,sigma_v0_eff,cv,rate_avg,rate_std,rate_desired,V,qc_value_avg,qc_value_std,qc_value_ref,qc_k,qt_value_avg,qt_value_std,qt_value_ref,qt_k,fs_value_avg,fs_value_std,fs_value_ref,fs_k,u_value_avg,u_value_std,u_value_ref,u_k,du_value_avg,du_value_std,du_value_ref,du_k,du_k_star,ft_value_avg,ft_value_std,ft_value_ref,ft_k,qn_value_avg,qn_value_std,qn_value_ref,qn_k,qe_value_avg,qe_value_std,qe_value_ref,qe_k,du_sig_v0_eff_value_avg,du_sig_v0_eff_value_std,du_sig_v0_eff_value_ref,du_sig_v0_eff_k,Qt__value_avg,Qt__value_std,Qt__value_ref,Qt__k,Bq__value_avg,Bq__value_std,Bq__value_ref,Bq__k,Bq__k1,Fr__value_avg,Fr__value_std,Fr__value_ref,Fr__k,Rf__value_avg,Rf__value_std,Rf__value_ref,Rf__k,qt_sigma_v0_eff,fs_sigma_v0_eff,qt_sigma_v0,du_sigma_v0_eff
0-0,NGTS: Tiller-Flotten,TILC44,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,13.740932071019463,2.6830380253621366,15.0,1425.0123194307018,672.2493477274978,22.684249474435966,673.3863934463727,0.9983114513005593,739.4918562477885,23.097048567829894,739.700631278647,0.9997177573980197,6.820970529504643,0.38735319852387234,7.717755935378768,0.8838023107516015,530.494712345827,14.488337209893334,524.5853999851864,1.0112647289856094,492.7140427446531,14.636033908694381,486.6692712818668,1.0124206968047615,0.6263293365225545,5.574505348404907,0.38843341440362855,6.4887488686226185,0.8591032664804332,603.3583798614537,26.034881677373555,602.9560335386999,1.0006672896535962,210.02328522187673,23.012643443797828,221.22797339828398,0.949352299330451,5.0157712689557465,0.253313666150659,4.915463070903692,1.0204066629339184,6.148889412589809,0.4500898462452998,6.124161225511789,1.0040378079817704,0.8156209927163691,0.03360972436422765,0.7879919834143498,1.035062551248686,1.0154525353347832,1.1343373879260483,0.0519727864005851,1.2468639091271065,0.9097523632071164,0.9241081232630011,0.04153622735263725,1.020127315551252,0.9058752855408401,7.437411073238556,0.06860165033294563,5.3831525132355,4.955452648313296
0-0,NGTS: Tiller-Flotten,TILC50,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,60.906358073007375,6.535643407688598,65.0,6316.333574542867,724.7653450526202,22.915905520734814,673.3863934463727,1.0762993611190916,790.6202764876588,23.074775745044775,739.700631278647,1.0688381800093802,9.18800266085872,0.5533226526211474,7.717755935378768,1.1905018424773233,523.3313897934829,37.34272418288592,524.5853999851864,0.9976095213634636,485.22603504251856,36.796436507587046,486.6692712818668,0.9970344619549395,0.6168107141796061,7.963933818422729,0.5131365560429882,6.4887488686226185,1.2273450521307123,652.4262788209552,23.998169041954153,602.9560335386999,1.0820461899882126,272.0775092826295,40.65432227386229,221.22797339828398,1.2298512936824648,4.822040042777466,0.2128790210314522,4.915463070903692,0.9809940535044952,6.527733072920828,0.3953674012724142,6.124161225511789,1.0658983055063698,0.7388911669489328,0.05984294622197824,0.7879919834143498,0.9376886852926289,0.9725385701273368,1.400378412025841,0.06496263768436888,1.2468639091271065,1.1231204959699295,1.1562347132172166,0.05224050387078819,1.020127315551252,1.1334219715432436,7.951633205147723,0.09240798550176098,5.755343338038571,4.880142297117636
0-0,NGTS: Tiller-Flotten,TILC51,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,43.49663434103444,12.350478618501217,50.0,4510.846823882737,714.7761405255834,18.412615759023215,673.3863934463727,1.061465077824604,777.0531064409056,16.02206320924548,739.700631278647,1.0504967463630401,11.660889047582781,0.5130921924357342,7.717755935378768,1.510917052213118,496.7354281233441,56.792063517970014,524.5853999851864,0.946910509017924,458.7604566947727,56.44928817745129,486.6692712818668,0.9426534276273835,0.5831681412281794,10.485829266718188,0.495778956757758,6.4887488686226185,1.6160017098864914,639.1528331716746,17.465838150600163,602.9560335386999,1.0600322372106281,286.68329608403775,64.51928080010143,221.22797339828398,1.2958727220626498,4.596349618866938,0.48840705549375035,4.915463070903692,0.9350796766380577,6.410658651856433,0.35180242716135796,6.124161225511789,1.046781496403322,0.71251841612039,0.090141519758006,0.7879919834143498,0.9042203869042744,0.9577886433529553,1.8175706782285133,0.058735748008591486,1.2468639091271065,1.4577137608393382,1.4957911251135556,0.04928493819344876,1.020127315551252,1.4662788676580691,7.8151819110790814,0.11727894579712315,5.656580728393008,4.613965754671397
0-0,NGTS: Tiller-Flotten,TILC52,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,46.37535232116194,10.963164058707623,50.0,4809.3861489187875,717.0566340832871,17.88387597628734,673.3863934463727,1.064851682573227,782.759076745531,16.876191191353122,739.700631278647,1.0582106377176577,9.580684000962034,0.3421040661208799,7.717755935378768,1.2413820910095725,515.2003438677249,17.252997695751226,524.5853999851864,0.9821095743081554,477.28010950010787,16.82628538777793,486.6692712818668,0.9807073050718237,0.6067099948144491,8.355227476398852,0.34540952386355483,6.4887488686226185,1.2876484582107792,645.7219614282728,18.81379725313081,602.9560335386999,1.0709271082977363,265.41700853888636,28.413625866551616,221.22797339828398,1.1997443382128146,4.808737662849421,0.11472803737788277,4.915463070903692,0.9782878222224851,6.525018251782668,0.37068314241602285,6.124161225511789,1.0654550086958856,0.7380605718273173,0.039605801682219714,0.7879919834143498,0.936634619846409,0.9720740293859241,1.4791532984155538,0.05615486473311995,1.2468639091271065,1.1862989116840075,1.219824881886847,0.045428572337582206,1.020127315551252,1.1957574934925481,7.8725694892770655,0.09635736306753627,5.698117505473484,4.800226454749722
0-0,NGTS: Tiller-Flotten,TILC53,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,29.04310664819015,7.60266500921979,30.0,3011.934310882604,698.8627427933864,13.874858458566788,673.3863934463727,1.0378331810606187,765.5936467746978,13.615443708826414,739.700631278647,1.0350047227231538,7.693671285237437,0.44912842772590383,7.717755935378768,0.9968793195401626,526.868472225489,14.59386614747187,524.5853999851864,1.0043521459811253,489.2384942035109,14.613936598977928,486.6692712818668,1.0052791969274675,0.6219112809711043,6.459649558298528,0.45410512117961654,6.4887488686226185,0.9955154204742297,630.5497237706187,14.741448305101944,602.9560335386999,1.0457640171041556,240.15345794547304,19.46468075716824,221.22797339828398,1.0855474299044312,5.029926676183708,0.2309270447798907,4.915463070903692,1.0232864337762124,6.483468467148083,0.321239679283462,6.124161225511789,1.0586704412907202,0.7730802163635692,0.026151547633263057,0.7879919834143498,0.9810762452351757,0.9916600481494859,1.220727502084206,0.05518077503245363,1.2468639091271065,0.9790382840889205,1.0050969313908553,0.05014755255963141,1.020127315551252,0.9852661683191233,7.699928833584439,0.0773788048201424,5.573161257872434,4.920497451731918
0-0,NGTS: Tiller-Flotten,TILC54,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,23.190005723539706,5.906067074819584,25.0,2404.934663304891,690.6575767814024,18.548143865731678,673.3863934463727,1.0256482511424627,756.6200862037828,18.638359051654163,739.700631278647,1.0228733817570073,6.535566447323669,0.3527180652527758,7.717755935378768,0.846822120580951,520.835308777719,12.509421554493493,524.5853999851864,0.9928513237166469,483.0513517884717,12.647786286259745,486.6692712818668,0.9925659586357987,0.6140462954671486,5.309802618343697,0.37835169964272025,6.4887488686226185,0.8183091572583576,620.7726300063115,20.718059714497162,602.9560335386999,1.0295487489577764,237.2302482322822,21.199507617075707,221.22797339828398,1.0723338671334697,4.916590725977472,0.23960849621700125,4.915463070903692,1.0002294097336333,6.340417994405893,0.39142169940014027,6.124161225511789,1.0353120633064379,0.7774925159146533,0.026700628364415255,0.7879919834143498,0.986675667112497,0.994127788269136,1.05268484818883,0.06598743420013946,1.2468639091271065,0.8442660345552742,0.862923015613124,0.05129576173480676,1.020127315551252,0.8458973722773234,7.609677591204107,0.0657312096874857,5.507837962244678,4.8582705034287885
0-0,NGTS: Tiller-Flotten,TILC55,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,16.709930794371488,6.994523403788102,20.0,1732.9142678053556,679.4795100302312,15.114299223911047,673.3863934463727,1.009048470006461,746.0607355946689,15.408703514232487,739.700631278647,1.008598213989662,6.59524670434794,0.29697866568074344,7.717755935378768,0.854554971622624,523.3644394818946,12.330899220345033,524.5853999851864,0.9976725229041328,485.59308796245574,12.53516894408204,486.6692712818668,0.997788676247061,0.6172773053295808,5.362961250441843,0.29485522984749407,6.4887488686226185,0.8265015889850967,609.8476048300073,18.13475342933946,602.9560335386999,1.0114296414795974,221.79911697704918,17.924590386224565,221.22797339828398,1.0025816969255372,4.946874398001846,0.2469468974576509,4.915463070903692,1.0063903088366362,6.208473706201295,0.3754970013170441,6.124161225511789,1.013767188286664,0.7924873001990385,0.02993058564392899,0.7879919834143498,1.0057047747684063,1.0025141705479599,1.073505314994619,0.02792493918159428,1.2468639091271065,0.860964301826772,0.8780744250699218,0.027296877135120745,1.020127315551252,0.8607498414013468,7.503477326139772,0.06633144159091496,5.430970861830608,4.8838339178273715
0-0,NGTS: Tiller-Flotten,TILC57,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,16.295839701320446,5.3807220193244945,20.0,1689.9706810155783,668.1689059301494,18.16683377989932,673.3863934463727,0.9922518667335698,734.5214598744417,18.35898797074028,739.700631278647,0.9929982871648323,7.995323709574828,0.336574419006048,7.717755935378768,1.0359648292224,522.8271520386311,13.347077697625622,524.5853999851864,0.9966483094142441,484.86065726511185,13.411465375233897,486.6692712818668,0.9962836897180889,0.6163462524410519,6.762828395600135,0.33416863384350015,6.4887488686226185,1.0422391947240972,596.9324966710003,19.85930451746219,602.9560335386999,0.9900099898953694,212.06040519497466,20.213189109241316,221.22797339828398,0.9585605379713684,4.874822913704392,0.22483544464692043,4.915463070903692,0.9917321813605187,6.0019968334795095,0.3399055081959296,6.124161225511789,0.9800520614115494,0.8119178241134837,0.028511467799051084,0.7879919834143498,1.0303630508973756,1.0133814026690684,1.3377415011338718,0.044325298906537886,1.2468639091271065,1.0728849326229886,1.0871768091978515,0.03989536062507113,1.020127315551252,1.0657265937540037,7.387421501733217,0.08041266254566198,5.346970368019295,4.876467524089859
0-0,NGTS: Tiller-Flotten,TILC58,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,61.76824024325393,4.375576299516908,65.0,6405.715626950313,728.6552442121163,16.545847171147397,673.3863934463727,1.082075983868458,796.2814275614533,16.27390656180335,739.700631278647,1.0764914803236014,10.43218712653248,0.4471127094504255,7.717755935378768,1.351712494393682,532.0457133355155,9.84282082852564,524.5853999851864,1.0142213514721146,494.3132992288037,9.670834382684355,486.6692712818668,1.0157068226781667,0.628362282949386,9.176947364983802,0.45109496124371956,6.4887488686226185,1.4142861051936215,660.4364241209079,19.534001069198826,602.9560335386999,1.095330981671848,263.7917948895079,19.97453652611063,221.22797339828398,1.1923980084317587,5.047913993877933,0.19470791357829867,4.915463070903692,1.0269457670749809,6.747883685056554,0.4327551576631283,6.124161225511789,1.1018461853921295,0.7499852157637351,0.027071631204742576,0.7879919834143498,0.9517675706725691,0.9787433232345722,1.5830715832508346,0.04603531396962875,1.2468639091271065,1.269642638352647,1.3115909725910146,0.04374701587351401,1.020127315551252,1.2857130209107897,8.008570015645075,0.10492132319976635,5.7965538522223685,4.971537109262632
0-0,NGTS: Tiller-Flotten,TILC59,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,9.017149585574654,2.499720012287218,10.0,935.1293768996849,656.944305334476,19.16915021409841,673.3863934463727,0.9755829813730768,722.4899092667647,19.38469979602016,739.700631278647,0.9767328547737861,6.9529575626766835,0.3093397749364357,7.717755935378768,0.9009040478727512,516.4038748086666,13.135693096245314,524.5853999851864,0.9844038259990635,478.47806595414994,13.125345992150567,486.6692712818668,0.9831688462554014,0.6082328157733636,5.732297443745277,0.3077279620745596,6.4887488686226185,0.8834210661880778,585.3358910039925,21.969808392421466,602.9560335386999,0.9707770690488058,206.38279168968734,21.342821448529193,221.22797339828398,0.9328964530092658,4.822733145672996,0.20531793404163998,4.915463070903692,0.981135058102746,5.909908377009115,0.38689829071652915,6.124161225511789,0.9650151521795103,0.8174446739486025,0.033481787551710156,0.7879919834143498,1.0373768910777936,1.0164724958542655,1.1871271558716112,0.037758939925953985,1.2468639091271065,0.9520903983039213,0.9614577234586097,0.03155678217264775,1.020127315551252,0.9424879706696818,7.266414641465938,0.06992910487317347,5.259386344821974,4.812274855988051
