unit,site,position,d_avg,sigma_v0,u0,sigma_v0_eff,cv,rate_avg,rate_std,rate_desired,V,qc_value_avg,qc_value_std,qc_value_ref,qc_k,qt_value_avg,qt_value_std,qt_value_ref,qt_k,fs_value_avg,fs_value_std,fs_value_ref,fs_k,u_value_avg,u_value_std,u_value_ref,u_k,du_value_avg,du_value_std,du_value_ref,du_k,ft_value_avg,ft_value_std,ft_value_ref,ft_k,qn_value_avg,qn_value_std,qn_value_ref,qn_k,qe_value_avg,qe_value_std,qe_value_ref,qe_k,du_sig_v0_eff_value_avg,du_sig_v0_eff_value_std,du_sig_v0_eff_value_ref,du_sig_v0_eff_k,Qt__value_avg,Qt__value_std,Qt__value_ref,Qt__k,Bq__value_avg,Bq__value_std,Bq__value_ref,Bq__k,Fr__value_avg,Fr__value_std,Fr__value_ref,Fr__k,Rf__value_avg,Rf__value_std,Rf__value_ref,Rf__k,qt_sigma_v0_eff,fs_sigma_v0_eff,qt_sigma_v0,du_sigma_v0_eff
0-0,NGTS: Tiller-Flotten,TILC44,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,15.22814039509935,2.388087922120711,15.0,1579.2442283303499,671.820048979592,22.393586868035616,673.8474475127342,0.9969913093228658,739.3619138299321,22.84255664325463,740.0336347850061,0.9990923102363188,6.795914285714288,0.44930628251806465,7.151052400821389,0.9503376433004029,531.8257074829932,15.526479324540205,520.2501299067345,1.0222500234230287,494.03729994169106,15.5891758706434,482.3099156086328,1.0243150388443898,5.541059543862391,0.4546258700948556,5.923718146209789,0.935402294149961,603.1536383634224,25.58696811428902,603.1327113311119,1.0000346972265264,207.53620634693883,23.923195314757002,218.59915556318913,0.9493916196165159,5.026012173408555,0.2465414170476131,4.861174553024484,1.033909010792775,6.141748164383085,0.436214814784516,6.103274989715882,1.0063036934649072,0.8202762218597829,0.0373708868687405,0.8062969194476044,1.0173376606991822,1.127434270172439,0.0687888953442161,1.1879252226746053,0.9490784846154109,0.9192683767281742,0.055128350532857605,0.9671071819722087,0.950534122653833,7.436104182338698,0.06834964811893111,5.382206593618739,4.968761256984024
0-0,NGTS: Tiller-Flotten,TILC50,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,50.63958745472382,7.363058448551926,65.0,5251.611433700657,723.2724137931036,24.141520915315933,673.8474475127342,1.0733474118849955,790.1701340305259,25.034350806181372,740.0336347850061,1.0677489466544117,9.156698699830415,0.8608541607917544,7.151052400821389,1.2804686900040967,526.7537026568684,32.89820114864943,520.2501299067345,1.012500857522707,488.75379956391834,32.438153866463054,482.3099156086328,1.0133604633592364,7.915264048938064,0.8207310167425392,5.923718146209789,1.3361986261960384,652.3645066624632,25.18520398535757,603.1327113311119,1.0816268035316754,263.4164313736574,35.012072786375725,218.59915556318913,1.2050203519542564,4.892777749336853,0.19864806363421889,4.861174553024484,1.0065011441098544,6.5448747912763245,0.3521530996271934,6.103274989715882,1.0723545641159125,0.7500257043796154,0.05410989282899535,0.8062969194476044,0.9302103062646692,1.404349221417279,0.1294788339265206,1.1879252226746053,1.1821865506444897,1.158922087340043,0.10440669150746211,0.9671071819722087,1.1983388283568206,7.947105914594177,0.0920931471104777,5.752066512906616,4.915622653924222
0-0,NGTS: Tiller-Flotten,TILC51,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,51.68714821308939,8.454391390341568,50.0,5360.2494051503145,716.8314285714289,17.97456570392996,673.8474475127342,1.0637888905231512,779.6525228571431,17.621865817575074,740.0336347850061,1.0535366045675032,11.349999999999998,1.229808347438158,7.151052400821389,1.587178972244184,494.65428571428566,64.56126810073908,520.2501299067345,0.9508008884168132,456.6742040816327,64.20620769960914,482.3099156086328,0.9468480520566323,10.190047521632652,1.1389218534298924,5.923718146209789,1.720211406100173,641.9969611355314,18.09509233776018,603.1327113311119,1.0644373105193485,284.9982371428573,63.62537745388815,218.59915556318913,1.3037481156256094,4.5713997491521114,0.5614488431246568,4.861174553024484,0.9403899611685239,6.449000775022914,0.30305572756961724,6.103274989715882,1.0566459459699238,0.7118457982274915,0.10187242913332473,0.8062969194476044,0.882858139548863,1.7687232015165604,0.18886887352121004,1.1879252226746053,1.4889179619692665,1.4559379210208507,0.1539578343487289,0.9671071819722087,1.5054566320682017,7.841325442308999,0.11415219108643164,5.675503255931061,4.5929833487727425
0-0,NGTS: Tiller-Flotten,TILC52,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,52.57127283192139,7.340145602860588,50.0,5451.938125190258,714.423684474291,30.826664183281768,673.8474475127342,1.06021576116572,780.484081443988,31.98052644291995,740.0336347850061,1.0546602813137451,9.29469112291604,1.1336420589723137,7.151052400821389,1.2997654893213237,520.160606060606,23.660911883269463,520.2501299067345,0.9998279215304674,482.2314299078356,23.441088405498373,482.3099156086328,0.9998372712269492,8.069823290950138,1.1482505028733807,5.923718146209789,1.3622902190431705,643.2132623048399,32.53866790704025,603.1327113311119,1.0664539498865355,260.32347538338195,30.673387676852187,218.59915556318913,1.1908713677904936,4.855639740228477,0.21585545842122994,4.861174553024484,0.9988614247985471,6.483247104181175,0.4234490384741365,6.103274989715882,1.0622570857622429,0.7511035538527084,0.042824017186908314,0.8062969194476044,0.9315470960341644,1.4502104797292728,0.20361269119085318,1.1879252226746053,1.2207927334551698,1.1937036277042394,0.1606859033362489,0.9671071819722087,1.234303342955158,7.849688811005481,0.09348100063017374,5.681556610892115,4.8500241704601255
0-0,NGTS: Tiller-Flotten,TILC53,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,36.27777851060017,14.080272001048687,30.0,3762.210673336673,695.5432432432433,32.976097326499655,673.8474475127342,1.0321968953219178,762.7513,33.237936369634795,740.0336347850061,1.0306981522827592,7.52837837837838,0.9143407417177346,7.151052400821389,1.0527650975559415,529.1972972972972,18.02654928659073,520.2501299067345,1.0171978186572805,491.59729729729725,17.99527523877688,482.3099156086328,1.0192560455178379,6.279721243243244,0.9177377676022153,5.923718146209789,1.060097912872718,627.9649735100485,33.178808797918514,603.1327113311119,1.0411721362685369,233.55400270270272,35.38265547452468,218.59915556318913,1.0684121908018565,5.063414068706367,0.24088417386540362,4.861174553024484,1.0416030145545905,6.468841242648759,0.4115376728591736,6.103274989715882,1.0598967363503795,0.7854531189104226,0.058666032161017956,0.8062969194476044,0.9741487285459779,1.2034228655897339,0.1697068370304918,1.1879252226746053,1.0130459751332124,0.9895113791714546,0.1330227087162189,0.9671071819722087,1.0231661987594356,7.6713420395616,0.07571637772859995,5.552470311712002,4.944221023669994
0-0,NGTS: Tiller-Flotten,TILC54,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,25.034379570420533,1.2250117243426506,25.0,2596.2066556163973,692.73125,17.886397602914887,673.8474475127342,1.028023853999846,758.8579399509806,18.196111326381903,740.0336347850061,1.0254370940470068,6.41936274509804,0.6184021703010002,7.151052400821389,0.8976808426631994,520.6825980392156,16.507159563695485,520.2501299067345,1.000831269629012,482.92105742296917,16.627357063741087,482.3099156086328,1.0012671143481782,5.192743259243698,0.6390503913665719,5.923718146209789,0.8766020143220696,622.8524331400831,19.77737993003362,603.1327113311119,1.0326954937752422,238.1753419117648,21.931368898586925,218.59915556318913,1.089552890989631,4.922520894047409,0.2655995173026505,4.861174553024484,1.0126196540267736,6.35026673366231,0.35628168038338254,6.103274989715882,1.0404687228352996,0.7759112987527105,0.03138883317897652,0.8062969194476044,0.9623146015295319,1.03184084955748,0.10587890204472379,1.1879252226746053,0.8686075771960609,0.8464648893718214,0.08440084609865155,0.9671071819722087,0.8752544755645769,7.632184719712795,0.06456249539485039,5.524128483799043,4.856960072828935
0-0,NGTS: Tiller-Flotten,TILC55,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,21.046024514687396,4.784546895708187,20.0,2182.591694177921,683.0022621128267,17.559399711359436,673.8474475127342,1.0135858859952414,749.6889783324434,17.268660851789015,740.0336347850061,1.0130471685253095,6.60294769718743,0.6118094123585894,7.151052400821389,0.9233532810400044,525.0922536977699,17.334776171558584,520.2501299067345,1.0093072995328294,487.26339549147167,17.406679568529434,482.3099156086328,1.010270325619551,5.365298672639093,0.6121017992060717,5.923718146209789,0.9057315929307013,613.1754074054911,19.17454042191902,603.1327113311119,1.0166508894074324,224.59672463467342,25.303548765474858,218.59915556318913,1.0274363780410425,4.943849420812482,0.2590083263451177,4.861174553024484,1.0170071794143989,6.2238611329565545,0.35395859948335356,6.103274989715882,1.0197576126659642,0.7954603409369834,0.03775095017430517,0.8062969194476044,0.9865600645999675,1.07673567059814,0.09348389890094061,1.1879252226746053,0.9064002094120681,0.8806064241848595,0.07807320418377396,0.9671071819722087,0.9105572170284689,7.539968238766239,0.06640889403198709,5.457382760551957,4.900632971944141
0-0,NGTS: Tiller-Flotten,TILC57,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,19.969983166374824,4.304662009368785,20.0,2071.000124578634,668.5594594594595,16.841959497273976,673.8474475127342,0.9921525442104241,735.205283783784,17.35624869289067,740.0336347850061,0.9934754979040583,7.894594594594596,0.5765441995414015,7.151052400821389,1.1039766110073255,524.7702702702703,16.59441235924239,520.2501299067345,1.0086883983370578,486.8218532818533,16.572153601716433,482.3099156086328,1.009354851574069,6.6580670872586865,0.5793983252867003,5.923718146209789,1.1239675695101665,597.7888120235622,18.507671760216034,603.1327113311119,0.9911397621001923,210.4350135135136,20.078718984713923,218.59915556318913,0.9626524538549026,4.89951150545555,0.23005652064669924,4.861174553024484,1.0078863558617153,6.018859525238971,0.3192553110520122,6.103274989715882,0.9861688249965549,0.8149098477269068,0.031789576487541285,0.8062969194476044,1.0106820801017113,1.3207690194022963,0.08990973069213619,1.1879252226746053,1.1118284166309678,1.0738068445385964,0.0750257282912132,0.9671071819722087,1.1103286838887874,7.394299034558655,0.0793995833226496,5.351948284091102,4.896192178051182
0-0,NGTS: Tiller-Flotten,TILC58,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,51.32834131490891,7.595235617488968,65.0,5323.039101834554,725.8571428571428,21.854411594056913,673.8474475127342,1.0771831896616715,793.7209535714286,22.878009535788525,740.0336347850061,1.0725471333502559,10.428571428571427,0.5848425568702493,7.151052400821389,1.458326808984587,534.3607142857143,17.26562106958123,520.2501299067345,1.0271226926584514,496.57948979591845,17.25606735825508,482.3099156086328,1.0295859026022276,9.167259524489795,0.605116482180321,5.923718146209789,1.5475516049586766,657.5670918498168,24.250300846942235,603.1327113311119,1.090252741222688,259.3602392857143,20.569650803347916,218.59915556318913,1.1864649642287506,5.053193811827944,0.24128267129851316,4.861174553024484,1.0395005891495896,6.694948903893237,0.39523735118699577,6.103274989715882,1.0969436761696525,0.7557321794278495,0.028111768759621635,0.8062969194476044,0.9372876929079713,1.5874893814834101,0.09800192286241208,1.1879252226746053,1.3363546384756348,1.3147268281876554,0.07927696884982324,0.9671071819722087,1.3594427305425967,7.9828181463780155,0.10488495845575217,5.777914807210551,4.994329234254311
0-0,NGTS: Tiller-Flotten,TILC59,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,10.270575126927948,0.48650879240986983,10.0,1065.1166898916938,656.9264690451482,18.80191975892962,673.8474475127342,0.9748890071038427,723.0737504063782,19.095367846815048,740.0336347850061,0.9770822789918797,6.985116565020658,0.34925695532307294,7.151052400821389,0.9767956062269001,520.8447351277946,14.608522116364401,520.2501299067345,1.001142921811796,482.93917920089234,14.59661463620163,482.3099156086328,1.0013046872392524,5.758451049850391,0.34637920455680915,5.923718146209789,0.972100783278296,585.9811472239738,21.63286779210751,603.1327113311119,0.9715625370919038,202.22901527858352,21.526100968254845,218.59915556318913,0.9251134331126288,4.873934436373737,0.21255937592720253,4.861174553024484,1.0026248560322348,5.919125070329511,0.38032172488912097,6.103274989715882,0.9698276876436559,0.8250995033416243,0.03498426307580166,0.8062969194476044,1.023319677206384,1.1922559802396018,0.04640247834173535,1.1879252226746053,1.003645648296991,0.9659379317334993,0.038982669465562225,0.9671071819722087,0.998790981743797,7.272286601407196,0.07025254280980064,5.263636433408463,4.857142331917597
