unit,site,position,d_avg,sigma_v0,u0,sigma_v0_eff,cv,rate_avg,rate_std,rate_desired,V,qc_value_avg,qc_value_std,qc_value_ref,qc_k,qt_value_avg,qt_value_std,qt_value_ref,qt_k,fs_value_avg,fs_value_std,fs_value_ref,fs_k,u_value_avg,u_value_std,u_value_ref,u_k,du_value_avg,du_value_std,du_value_ref,du_k,du_k_star,ft_value_avg,ft_value_std,ft_value_ref,ft_k,qn_value_avg,qn_value_std,qn_value_ref,qn_k,qe_value_avg,qe_value_std,qe_value_ref,qe_k,du_sig_v0_eff_value_avg,du_sig_v0_eff_value_std,du_sig_v0_eff_value_ref,du_sig_v0_eff_k,Qt__value_avg,Qt__value_std,Qt__value_ref,Qt__k,Bq__value_avg,Bq__value_std,Bq__value_ref,Bq__k,Bq__k1,Fr__value_avg,Fr__value_std,Fr__value_ref,Fr__k,Rf__value_avg,Rf__value_std,Rf__value_ref,Rf__k,qt_sigma_v0_eff,fs_sigma_v0_eff,qt_sigma_v0,du_sigma_v0_eff
0-0,NGTS: Tiller-Flotten,TILC44,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,15.157889154565462,2.466977704825769,15.0,1571.9587776273936,675.9499999999997,24.3599568965134,675.7033495082964,1.000365027777179,743.5849083333331,24.94278203866867,741.9936462633099,1.0021445764098345,6.8000000000000025,0.4384315479321969,7.110200387148915,0.9563724831567936,532.5583333333335,15.630585668276595,520.6987709675569,1.0227762442068746,494.6002380952381,15.661313347576415,482.7372027525149,1.0245745206192551,0.6318854353108093,5.543715395238098,0.44306649659432956,5.880154307142806,0.9427839994783767,606.095295619658,26.54476240908693,604.4904923938324,1.0026548030879203,211.02657499999978,24.681383427836113,220.129080124962,0.9586492383478141,4.975280093265035,0.2399919207035093,4.854018260126853,1.0249817422679026,6.100699621292112,0.41105625512946026,6.0815697476938,1.003145548664564,0.817253878339341,0.036991577959503266,0.8040146747853136,1.0164663705392722,1.0073387449332156,1.1228795785263577,0.06959900206490043,1.1795951094455785,0.9519194929980018,0.9148154997359421,0.05575218954943934,0.9605055999358351,0.9524311985240428,7.478576788110433,0.06839074003416172,5.4129480051465295,4.974422985942046
0-0,NGTS: Tiller-Flotten,TILC50,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,52.158786971488766,7.521667073481783,65.0,5409.161010095775,723.0384615384617,25.116514287233965,675.7033495082964,1.0700530966208923,789.9005423076924,25.665543443753723,741.9936462633099,1.064565102795209,9.207692307692309,0.8935336405888172,7.110200387148915,1.2949975818310877,526.473076923077,31.076451110277493,520.6987709675569,1.0110895325233633,488.50384615384615,30.664935594307366,482.7372027525149,1.011945719883304,0.6240968800716385,7.96689253846154,0.8503975711802559,5.880154307142806,1.3548781413412754,652.3272025641024,26.24195871436692,604.4904923938324,1.0791355873619,263.4274653846154,35.80896701271413,220.129080124962,1.196695435401238,4.900750428204448,0.19542464066781345,4.854018260126853,1.0096275221009106,6.5573473351526195,0.3637486560497893,6.0815697476938,1.0782326943860572,0.7499043144400412,0.05402066932318585,0.8040146747853136,0.9326997851628507,0.9700055874813148,1.4122950052308987,0.13421603161868997,1.1795951094455785,1.1972709906322785,1.1657195559969817,0.10792774314084759,0.9605055999358351,1.2136520141838378,7.944394506148344,0.09260601337204928,5.750104012105481,4.913108757058208
0-0,NGTS: Tiller-Flotten,TILC51,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,52.36908504560196,8.721417944564056,50.0,5430.970108984772,716.8833333333336,18.127043946055124,675.7033495082964,1.0609438799659696,779.609338888889,17.487417682027953,741.9936462633099,1.050695437642913,11.352777777777778,1.2118594782654173,7.110200387148915,1.5966888638324404,493.9055555555555,63.81219382098467,520.6987709675569,0.9485437321808643,455.95000000000005,63.45384413036482,482.7372027525149,0.944509761005,0.5825071280586134,10.194664777777778,1.1221284014723754,5.880154307142806,1.7337410287675616,642.1388928418805,18.2802838056727,604.4904923938324,1.0622812118995575,285.7037833333335,63.561246063918794,220.129080124962,1.2978920512053487,4.571797314154125,0.5537252814433495,4.854018260126853,0.9418582850643514,6.461732122437118,0.3193343569278652,6.0815697476938,1.0625105672573236,0.7106593276793893,0.1016059196434256,0.8040146747853136,0.8838885034892531,0.9482513371921245,1.768667919752415,0.18568707359713527,1.1795951094455785,1.4993855989990554,1.4562895240366454,0.151248128265097,0.9605055999358351,1.5161697382440356,7.840891121199218,0.11418012848023647,5.675188896975957,4.58569969390824
0-0,NGTS: Tiller-Flotten,TILC52,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,52.01695734322223,7.334750479735375,50.0,5394.452476024324,716.9500000000002,31.231514532599967,675.7033495082964,1.061042542591684,783.1847333333333,32.70330838736185,741.9936462633099,1.055514069800277,9.3,1.0865337342004413,7.110200387148915,1.3079800137291437,521.5333333333333,25.0452701234296,520.6987709675569,1.0016027738345255,483.5803174603174,24.756464382003443,482.7372027525149,1.0017465293807792,0.6178067373823489,8.071705993650793,1.1017383706518478,5.880154307142806,1.372703091115456,645.7334539529915,32.69408986124782,604.4904923938324,1.0682276430781128,261.65139999999997,29.60022213751106,220.129080124962,1.1886271448164265,4.860994669211836,0.20887664269197354,4.854018260126853,1.0014372440957402,6.49790858407027,0.40859162747942596,6.0815697476938,1.0684591073767344,0.7500786687851748,0.04163059192273215,0.8040146747853136,0.932916639842997,0.9701022354451981,1.4453066334970728,0.19669205390994393,1.1795951094455785,1.2252565494073482,1.1903149456071553,0.15526314111676617,0.9605055999358351,1.2392587254948564,7.87685051413592,0.09353439445848587,5.701216085006232,4.863590555450876
0-0,NGTS: Tiller-Flotten,TILC53,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,36.64363619890736,14.043516693997852,30.0,3800.1521834395976,697.778947368421,33.35839007454723,675.7033495082964,1.0326705467365063,765.8312289473683,33.89770414616608,741.9936462633099,1.0321263973136494,7.381578947368421,0.9466993251230117,7.110200387148915,1.0381674981636242,535.8447368421052,21.38489010798865,520.6987709675569,1.0290877695877874,497.901879699248,21.184104342889974,482.7372027525149,1.031413938806178,0.6361035069603995,6.116908172932329,0.9502105675397535,5.880154307142806,1.0402632062736739,628.4568117746289,33.307009271399814,604.4904923938324,1.0396471403311704,229.9864921052631,35.5342301199501,220.129080124962,1.0447801443348843,5.010181562244822,0.21448677928446996,4.854018260126853,1.0321719642879728,6.326170501104129,0.3838176044031615,6.0815697476938,1.0402200029857562,0.7947304183437586,0.059030521422370905,0.8040146747853136,0.988452628126428,0.994853558249098,1.1795060322228812,0.1770316253524024,1.1795951094455785,0.9999244849169142,0.9665747776701545,0.1383355299390644,0.9605055999358351,1.0063187322746738,7.7023183072032415,0.07423994806339922,5.574890744220533,5.007629120151724
0-0,NGTS: Tiller-Flotten,TILC54,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,26.12230141678069,0.016481641682331325,25.0,2709.0303000117224,692.4555555555556,16.598467875152494,675.7033495082964,1.0247922495270294,759.0792851851851,17.100501028044498,741.9936462633099,1.023026664726738,6.285185185185185,0.7132106351919406,7.110200387148915,0.8839673768611536,524.5962962962964,16.270434023701302,520.6987709675569,1.0074851825010016,486.5780952380952,16.284021447337736,482.7372027525149,1.007956487429765,0.6216366023322147,5.049276823280422,0.743126643698734,5.880154307142806,0.8586980136128245,621.1360173789172,18.477233204500212,604.4904923938324,1.0275364545754346,234.4829888888888,19.756549077004884,220.129080124962,1.0652067812020949,4.874540698465108,0.23135114425327472,4.854018260126853,1.0042279277164725,6.224896745410994,0.32905262963593684,6.0815697476938,1.0235674346695678,0.7838200738957325,0.029132029935002954,0.8040146747853136,0.9748827956467667,0.9888057446694638,1.013250704290189,0.12236759196039523,1.1795951094455785,0.8589817778800617,0.8287212556456489,0.09827465186136009,0.9605055999358351,0.8627969016536814,7.634410890943719,0.06321300971567125,5.525739772880502,4.893740590845021
0-0,NGTS: Tiller-Flotten,TILC55,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,20.707699527343486,4.8250413451852685,20.0,2147.50548077955,686.5918918918918,20.66236137283969,675.7033495082964,1.0161143827265604,753.435081081081,20.79840407767582,741.9936462633099,1.0154198555141143,6.591891891891892,0.6010703868385621,7.110200387148915,0.927103531963203,526.3243243243244,17.583060112558368,520.6987709675569,1.010803853725858,488.3771428571429,17.611063914504783,482.7372027525149,1.011683251409814,0.6239350079947044,5.35141394903475,0.6014177723824224,5.880154307142806,0.9100805301204802,616.0279336451835,21.25746721674176,604.4904923938324,1.0190862245089445,227.11075675675662,25.65269801133648,220.129080124962,1.0317162849534978,4.916197079930934,0.25215371724655306,4.854018260126853,1.0128097622365466,6.2021293751838344,0.32804661522233214,6.0815697476938,1.0198237679565794,0.7936118355518488,0.036864385264688763,0.8040146747853136,0.9870613813905292,0.9942335063129668,1.0703062174817348,0.09429619831679985,1.1795951094455785,0.907350504347877,0.8750276837689267,0.07840431875388207,0.9605055999358351,0.9110073734368456,7.57764452394614,0.06629770069289365,5.484652624656329,4.911834443495517
0-0,NGTS: Tiller-Flotten,TILC57,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,19.969983166374824,4.304662009368785,20.0,2071.000124578634,668.5594594594595,16.841959497273976,675.7033495082964,0.9894274757494759,735.205283783784,17.35624869289067,741.9936462633099,0.9908511851634955,7.894594594594596,0.5765441995414015,7.110200387148915,1.110319564110093,524.7702702702703,16.59441235924239,520.6987709675569,1.0078192988532464,486.8218532818533,16.572153601716433,482.7372027525149,1.008461437208585,0.6219480198078385,6.6580670872586865,0.5793983252867003,5.880154307142806,1.1322946200869126,597.7888120235622,18.507671760216034,604.4904923938324,0.9889135057464163,210.4350135135136,20.078718984713923,220.129080124962,0.9559618992368236,4.89951150545555,0.23005652064669924,4.854018260126853,1.009372285576756,6.018859525238971,0.3192553110520122,6.0815697476938,0.9896884809257331,0.8149098477269068,0.031789576487541285,0.8040146747853136,1.0135509627911983,1.0060394037220843,1.3207690194022963,0.08990973069213619,1.1795951094455785,1.1196799722432478,1.0738068445385964,0.0750257282912132,0.9605055999358351,1.1179600042002154,7.394299034558655,0.0793995833226496,5.351948284091102,4.896192178051182
0-0,NGTS: Tiller-Flotten,TILC58,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,52.32233547286739,7.567167870862333,65.0,5426.121914063891,729.2199999999999,23.222265178056862,675.7033495082964,1.0792013988544635,797.5379566666666,24.58324880739824,741.9936462633099,1.0748582022003539,10.399999999999999,0.5585696017507576,7.110200387148915,1.4626873271809777,537.9366666666667,18.89773325619298,520.6987709675569,1.0331053128223802,499.98009523809526,18.75498464330274,482.7372027525149,1.0357190048483176,0.6387585686229079,9.130050558095236,0.5776294136441489,5.880154307142806,1.5526889399832042,660.0597925641024,24.903515091811034,604.4904923938324,1.0919275007125604,259.60128999999984,20.09483348950421,220.129080124962,1.1793139273222348,5.027961449433071,0.22250136000553988,4.854018260126853,1.0358348856523814,6.641400629615271,0.36882815900845856,6.0815697476938,1.0920536810638017,0.7579565216837866,0.027390232984697917,0.8040146747853136,0.9427147855058424,0.974469080686936,1.577344652431127,0.09643329946778721,1.1795951094455785,1.337191583621006,1.3050115192388512,0.07751085846120312,0.9605055999358351,1.3586714323435805,8.021207509083311,0.10459760240518846,5.805700792453738,5.028530693482939
0-0,NGTS: Tiller-Flotten,TILC59,7.850000000000001,137.3715224358975,37.942857142857136,99.42866529304037,0.34407461538461537,10.158772273684592,0.0022584291687555336,10.0,1053.5221021012994,656.9967741935484,18.158077983249985,675.7033495082964,0.972315402419774,723.2121161290322,18.53604133573466,741.9936462633099,0.9746877480301055,6.9645161290322575,0.31982695633407576,7.110200387148915,0.9795105271041349,521.3806451612902,14.746337311342534,520.6987709675569,1.0013095367835538,483.41935483870964,14.602348611401045,482.7372027525149,1.0014130920142579,0.6176010966883309,5.736630967741935,0.3195062923274562,5.880154307142806,0.9755919093438536,585.6981783705543,20.48078292002229,604.4904923938324,0.9689121429373372,201.83147096774204,20.59654331172437,220.129080124962,0.9168778193829146,4.860348054437447,0.19134409675427977,4.854018260126853,1.0013040318291733,5.894330095453819,0.3624123519386016,6.0815697476938,0.9692119534909578,0.8262166457482011,0.03404187925120643,0.8040146747853136,1.0276138877301162,1.0123069791355936,1.1891967991483237,0.03913803846539864,1.1795951094455785,1.0081398181679966,0.9628810036146735,0.033884408290479257,0.9605055999358351,1.0024730763454135,7.27367820937303,0.07004535471240754,5.264643670717918,4.8619716800377
