CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 20.09.2022

<Transmited Data>
<NEW BUTTON 13:56:24>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCANG[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:00:44>
[^C][CR]
[^C][CR]
DRON[CR]
SCANG[CR]

<PAUSE BUTTON 14:22:41>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:29:45>
[^C][CR]
SCANG[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 13:56:24>

>
Reset interface. Wait time for interface: 94
>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 109DOFF
OK
>
Command: DOFF Wait time for interface: 110

>
Reset interface. Wait time for interface: 109SCANG
Z,0,0,0,0
A,36692,11861,0,0[CR],2422307312
F,11855,14971,0,0[CR],2422307750
C,13326,282,0,0[CR],2422308187
F,11889,14952,0,0[CR],2422308515
C,13323,276,0,0[CR],2422308953
F,11918,14947,0,0[CR],2422309281
C,13322,274,0,0[CR],2422309718
F,11942,14926,0,0[CR],2422310046
C,13318,278,0,0[CR],2422310484
F,11962,14914,0,0[CR],2422310921
C,13316,274,0,0[CR],2422311250
F,11992,14907,0,0[CR],2422311687
C,13312,274,0,0[CR],2422312015
F,12015,14888,0,0[CR],2422312468
C,13314,278,0,0[CR],2422312796
F,12036,14878,0,0[CR],2422313234
A,36640,12052,0,0[CR],2422313671
F,12044,14876,0,0[CR],2422314000
C,13311,274,0,0[CR],2422314437
F,12080,14864,0,0[CR],2422314765
C,13312,278,0,0[CR],2422315203
F,12095,14859,0,0[CR],2422315531
C,13308,274,0,0[CR],2422315968
F,12118,14833,0,0[CR],2422316406
C,13303,286,0,0[CR],2422316734
F,12145,14841,0,0[CR],2422317171
C,13304,286,0,0[CR],2422317500
F,12169,14813,0,0[CR],2422317937
C,13302,266,0,0[CR],2422318265
F,12188,14803,0,0[CR],2422318703
C,13299,274,0,0[CR],2422319140
F,12210,14797,0,0[CR],2422319468
A,36616,12225,0,0[CR],2422319906
F,12209,14788,0,0[CR],2422320234
C,13297,274,0,0[CR],2422320671
F,12256,14785,0,0[CR],2422321000
C,13296,276,0,0[CR],2422321437
F,12273,14773,0,0[CR],2422321875
C,13295,274,0,0[CR],2422322203
F,12298,14764,0,0[CR],2422322640
C,13293,274,0,0[CR],2422322968
F,12317,14756,0,0[CR],2422323406
C,13292,274,0,0[CR],2422323734
F,12339,14747,0,0[CR],2422324171
C,13291,274,0,0[CR],2422324609
F,12356,14745,0,0[CR],2422324937
C,13290,274,0,0[CR],2422325375
F,12381,14734,0,0[CR],2422325703
A,36568,12394,0,0[CR],2422326140
F,12390,14723,0,0[CR],2422326468
C,13287,258,0,0[CR],2422326906
F,12420,14711,0,0[CR],2422327343
C,13286,274,0,0[CR],2422327671
F,12439,14701,0,0[CR],2422328109
C,13285,286,0,0[CR],2422328437
F,12465,14702,0,0[CR],2422328875
C,13285,286,0,0[CR],2422329203
F,12479,14698,0,0[CR],2422329640
C,13285,274,0,0[CR],2422330078
F,12501,14694,0,0[CR],2422330406
C,13285,274,0,0[CR],2422330843
F,12519,14686,0,0[CR],2422331171
C,13284,282,0,0[CR],2422331609
F,12531,14678,0,0[CR],2422331937
A,36532,12548,0,0[CR],2422332375
F,12541,14671,0,0[CR],2422332812
C,13282,274,0,0[CR],2422333140
F,12577,14662,0,0[CR],2422333578
C,13280,278,0,0[CR],2422333906
F,12591,14661,0,0[CR],2422334343
C,13278,278,0,0[CR],2422334671
F,12611,14650,0,0[CR],2422335109
C,13280,266,0,0[CR],2422335546
F,12630,14644,0,0[CR],2422335875
C,13278,274,0,0[CR],2422336312
F,12640,14637,0,0[CR],2422336640
C,13277,274,0,0[CR],2422337078
